'Elapsed time','ABP'
seconds','mmhg'
29.340,115.058
29.360,105.910
29.380,96.688
29.400,88.860
29.420,83.048
29.440,80.086
29.460,79.489
29.480,79.837
29.500,80.509
29.520,80.970
29.540,81.119
29.560,80.136
29.580,78.257
29.600,75.519
29.620,72.569
29.640,70.354
29.660,68.002
29.680,66.371
29.700,65.463
29.720,72.868
29.740,101.019
29.760,121.990
29.780,133.539
29.800,138.418
29.820,134.224
29.840,128.014
29.860,119.551
29.880,110.129
29.900,100.746
29.920,91.972
29.940,85.948
29.960,82.003
29.980,80.410
30.000,80.435
30.020,81.269
30.040,82.289
30.060,82.924
30.080,82.563
30.100,80.758
30.120,78.443
30.140,75.705
30.160,72.669
30.180,70.404
30.200,68.562
30.220,66.683
30.240,66.222
30.260,78.443
30.280,108.960
30.300,125.848
30.320,137.372
30.340,139.451
30.360,135.692
30.380,129.382
30.400,120.658
30.420,111.785
30.440,102.251
30.460,92.756
30.480,86.035
30.500,82.090
30.520,80.746
30.540,80.298
30.560,81.181
30.580,82.700
30.600,83.359
30.620,83.260
30.640,81.430
30.660,78.829
30.680,75.755
30.700,72.246
30.720,70.068
30.740,67.603
30.760,65.849
30.780,66.010
30.800,82.077
30.820,112.046
30.840,128.374
30.860,140.247
30.880,141.778
30.900,137.198
30.920,131.249
30.940,122.276
30.960,112.805
30.980,102.127
31.000,93.042
31.020,86.545
31.040,81.941
31.060,80.360
31.080,80.310
31.100,81.032
31.120,81.953
31.140,82.700
31.160,82.401
31.180,80.808
31.200,78.008
31.220,75.282
31.240,72.096
31.260,69.545
31.280,67.616
31.300,65.762
31.320,66.272
31.340,80.472
31.360,110.092
31.380,126.520
31.400,137.186
31.420,137.932
31.440,133.041
31.460,125.773
31.480,115.618
31.500,105.948
31.520,96.278
31.540,87.553
31.560,81.729
31.580,79.290
31.600,78.593
31.620,79.103
31.640,80.497
31.660,81.953
31.680,82.463
31.700,82.053
31.720,80.982
31.740,78.904
31.760,77.535
31.780,78.543
31.800,81.443
31.820,83.608
31.840,82.613
31.860,78.829
31.880,73.602
31.900,68.873
31.920,65.351
31.940,63.384
31.960,61.916
31.980,61.418
32.000,61.406
32.020,61.928
32.040,62.314
32.060,62.364
32.080,62.115
32.100,61.903
32.120,61.368
32.140,60.833
32.160,60.012
32.180,59.937
32.200,58.941
32.220,58.381
32.240,57.460
32.260,56.627
32.280,55.469
32.300,54.374
32.320,53.403
32.340,52.607
32.360,51.673
32.380,52.644
32.400,70.068
32.420,100.559
32.440,116.862
32.460,131.946
32.480,135.593
32.500,131.598
32.520,124.740
32.540,114.672
32.560,103.484
32.580,92.469
32.600,84.243
32.620,79.128
32.640,76.004
32.660,75.021
32.680,75.880
32.700,77.112
32.720,78.518
32.740,79.651
32.760,79.788
32.780,78.219
32.800,75.905
32.820,72.719
32.840,69.856
32.860,67.703
32.880,65.824
32.900,63.571
32.920,63.472
32.940,78.344
32.960,107.093
32.980,123.085
33.000,134.361
33.020,135.431
33.040,130.851
33.060,125.139
33.080,116.514
33.100,108.499
33.120,97.796
33.140,89.059
33.160,82.227
33.180,77.946
33.200,76.353
33.220,76.017
